,M
694,-11
695,-9
696,-9
697,-9
698,-14
699,-11
700,-13
701,-12
702,-9
703,-10
704,-12
705,-9
706,-8
707,-10
708,-9
709,-9
710,-11
711,-10
712,-10
713,-11
714,-9
715,-11
716,-9
717,-10
718,-10
719,-6
720,-6
721,-5
722,-5
723,-9
724,-6
725,-7
726,-4
727,-2
728,-6
729,-4
730,-3
731,-1
732,-5
733,-4
734,0
735,-4
736,-2
737,-4
738,-5
739,-2
740,0
741,4
742,2
743,0
744,1
745,3
746,4
747,-3
748,2
749,3
750,3
751,5
752,1
753,3
754,3
755,4
756,5
757,5
758,8
759,6
760,4
761,6
762,7
763,8
764,11
765,10
766,11
767,8
768,9
769,9
770,10
771,13
772,12
773,12
774,14
775,12
776,14
777,15
778,15
779,13
780,13
781,18
782,18
783,16
784,14
785,15
786,17
787,15
788,20
789,14
790,17
791,15
792,17
793,19
794,15
795,18
796,18
797,22
798,21
799,18
800,18
801,18
802,19
803,21
804,22
805,20
806,23
807,18
808,22
809,23
810,24
811,25
812,24
813,27
814,25
815,24
816,24
817,26
818,26
819,24
820,26
821,26
822,28
823,25
824,28
825,27
826,30
827,33
828,30
829,29
830,28
831,31
832,28
833,30
834,28
835,30
836,28
837,30
838,27
839,30
840,31
841,29
842,33
843,29
844,29
845,29
846,32
847,31
848,34
849,33
850,35
851,31
852,34
853,33
854,32
855,35
856,32
857,32
858,32
859,32
860,35
861,34
862,34
863,34
864,32
865,32
866,35
867,36
868,33
869,32
870,34
871,37
872,37
873,37
874,34
875,36
876,37
877,32
878,34
879,32
880,37
881,35
882,38
883,37
884,36
885,32
886,35
887,36
888,35
889,38
890,35
891,35
892,34
893,31
894,36
895,34
896,34
897,36
898,34
899,37
900,34
901,35
902,33
903,34
904,33
905,33
906,31
907,31
908,31
909,34
910,29
911,30
912,32
913,30
914,31
915,30
916,32
917,31
918,30
919,35
920,28
921,30
922,30
923,30
924,29
925,29
926,30
927,27
928,27
929,28
930,30
931,27
932,30
933,30
934,28
935,30
936,30
937,25
938,30
939,28
940,27
941,28
942,27
943,28
944,25
945,24
946,25
947,23
948,25
949,28
950,28
951,26
952,26
953,25
954,25
955,22
956,25
957,28
958,25
959,27
960,26
961,29
962,22
963,27
964,26
965,25
966,24
967,25
968,21
969,27
970,23
971,24
972,26
973,25
974,25
975,23
976,23
977,23
978,24
979,21
980,23
981,22
982,24
983,23
984,26
985,23
986,24
987,24
988,23
989,23
990,20
991,17
992,19
993,20
994,19
995,18
996,20
997,20
998,17
999,18
1000,15
1001,14
1002,16
1003,16
1004,13
1005,15
1006,14
1007,14
1008,16
1009,11
1010,11
1011,13
1012,11
1013,11
1014,12
1015,9
1016,7
1017,8
1018,8
1019,7
1020,9
1021,6
1022,6
1023,5
1024,6
1025,6
1026,5
1027,7
1028,5
1029,1
1030,2
1031,0
1032,-1
1033,-1
1034,0
1035,1
1036,2
1037,-3
1038,0
1039,-5
1040,-4
1041,-4
1042,-3
1043,-2
1044,-4
1045,-7
1046,-7
1047,-6
1048,-4
1049,-6
1050,-4
1051,0
1052,-4
1053,-8
1054,-7
1055,-9
1056,-7
1057,-6
1058,-7
1059,-7
1060,-5
1061,-8
1062,-8
1063,-4
1064,-4
1065,-4
1066,-6
1067,-11
1068,-6
1069,-6
1070,-8
1071,-10
1072,-7
1073,-6
1074,-5
1075,-7
1076,-7
1077,-7
1078,-8
1079,-9
1080,-7
1081,-7
1082,-6
1083,-4
1084,-5
1085,-4
1086,-4
1087,-4
1088,-3
1089,-3
1090,-4
1091,-3
1092,-4
1093,1
1094,-2
1095,-3
1096,1
1097,-2
1098,2
1099,-3
1100,-1
1101,-2
1102,-3
1103,0
1104,6
1105,2
1106,5
1107,3
1108,0
1109,3
1110,5
1111,7
1112,9
1113,8
1114,7
1115,6
1116,8
1117,8
1118,7
1119,9
1120,9
1121,9
1122,10
1123,5
1124,9
1125,11
1126,10
1127,10
1128,12
1129,10
1130,12
1131,12
1132,13
1133,11
1134,15
1135,13
1136,12
1137,15
1138,13
1139,12
1140,11
1141,14
1142,14
1143,14
1144,13
1145,17
1146,17
1147,12
1148,11
1149,14
1150,13
1151,12
1152,17
1153,15
1154,14
1155,13
1156,12
1157,16
1158,15
1159,15
1160,13
1161,16
1162,15
1163,11
1164,15
1165,14
1166,18
1167,15
1168,15
1169,15
1170,16
1171,15
1172,16
1173,15
1174,15
1175,16
1176,16
1177,15
1178,9
1179,14
1180,11
1181,16
1182,16
1183,18
1184,16
1185,17
1186,16
1187,16
1188,15
1189,16
1190,15
1191,18
1192,12
1193,10
1194,14
1195,13
1196,11
1197,16
1198,13
1199,12
1200,12
1201,13
1202,9
1203,13
1204,12
1205,12
1206,12
1207,13
1208,12
1209,12
1210,11
1211,10
1212,13
1213,12
1214,12
1215,12
1216,11
1217,10
1218,10
1219,13
1220,11
1221,9
1222,11
1223,12
1224,12
1225,10
1226,10
1227,8
1228,9
1229,10
1230,9
1231,9
1232,5
1233,8
1234,6
1235,10
1236,12
1237,9
1238,6
1239,9
1240,6
1241,6
1242,5
1243,8
1244,12
1245,10
1246,9
1247,8
1248,7
1249,7
1250,8
1251,9
1252,7
1253,8
1254,11
1255,4
1256,3
1257,6
1258,9
1259,11
1260,5
1261,8
1262,7
1263,7
1264,10
1265,4
1266,7
1267,8
1268,7
1269,6
1270,6
1271,4
1272,5
1273,6
1274,4
1275,9
1276,6
1277,3
1278,2
1279,0
1280,3
1281,6
