,M
6152,-483
6153,-349
6154,-19
6155,511
6156,1109
6157,1262
6158,1501
6159,2636
6160,2865
6161,3088
6162,2506
6163,2062
6164,1654
6165,1659
6166,1242
6167,1202
6168,1039
6169,-52
6170,-933
6171,-1825
6172,-1966
6173,-1438
6174,-976
6175,-396
6176,24
6177,-365
6178,-257
6179,-631
6180,81
6181,1253
6182,2018
6183,1875
6184,919
6185,819
6186,717
6187,687
6188,-387
6189,-861
6190,132
6191,937
6192,434
6193,-1028
6194,-2732
6195,-2085
6196,-1091
6197,-905
6198,-1240
6199,-1326
6200,-1602
6201,-1056
6202,-648
6203,-891
6204,-240
6205,237
6206,1402
6207,1688
6208,1216
6209,-32
6210,424
6211,1354
6212,912
6213,-52
6214,-866
6215,-1281
6216,-919
6217,-1147
6218,-2564
6219,-3287
6220,-3443
6221,-3215
6222,-2281
6223,-1514
6224,-826
6225,-772
6226,-1239
6227,-1011
6228,-105
6229,1049
6230,1720
6231,2162
6232,1978
6233,1085
6234,1299
6235,1653
6236,1634
6237,476
6238,-577
6239,-501
6240,424
6241,307
6242,-336
6243,-864
6244,-1312
6245,-1243
6246,-1148
6247,-602
6248,68
6249,671
6250,816
6251,555
6252,38
6253,1386
6254,2741
6255,2744
6256,2014
6257,1111
6258,505
6259,1195
6260,2074
6261,2288
6262,1922
6263,1082
6264,611
6265,-272
6266,-472
6267,-510
6268,-1168
6269,-2158
6270,-2627
6271,-2319
6272,-1698
6273,-1641
6274,-1859
6275,-2176
6276,-1441
6277,-186
6278,835
6279,1039
6280,1184
6281,1114
6282,536
6283,-278
6284,-204
6285,-241
6286,-92
6287,-431
6288,-615
6289,-1070
6290,-1221
6291,-1301
6292,-1412
6293,-893
6294,-422
6295,-374
6296,-629
6297,-801
6298,-24
6299,1091
6300,1621
6301,1734
6302,1632
6303,1948
6304,1904
6305,1589
6306,939
6307,722
6308,514
6309,294
6310,114
6311,412
6312,1185
6313,1517
6314,777
6315,-349
6316,-1183
6317,-1345
6318,-1043
6319,-714
6320,-944
6321,-1214
6322,-971
6323,-192
6324,320
6325,317
6326,-422
6327,-1151
6328,-1402
6329,-1562
6330,-1250
6331,92
6332,1145
6333,1628
6334,1381
6335,224
6336,-1175
6337,-2278
6338,-2230
6339,-2070
6340,-1607
6341,-995
6342,-605
6343,-433
6344,-217
6345,-650
6346,-2082
6347,-2728
6348,-1675
6349,-476
6350,212
6351,432
6352,789
6353,1116
6354,522
6355,-493
6356,-732
6357,-115
6358,486
6359,608
6360,569
6361,840
6362,902
6363,322
6364,-357
6365,-1053
6366,-1240
6367,-804
6368,277
6369,997
6370,682
6371,-335
6372,210
6373,1089
6374,1663
6375,1657
6376,1829
6377,1352
6378,1606
6379,1804
6380,1550
6381,1554
6382,1277
6383,586
6384,575
6385,442
6386,180
6387,-135
6388,-198
6389,-413
6390,-821
6391,-1237
6392,-734
6393,262
6394,933
6395,548
6396,-633
6397,-784
6398,253
6399,954
6400,671
6401,207
6402,156
6403,-89
6404,-354
6405,-130
6406,497
6407,833
6408,273
6409,-508
6410,-1247
6411,-1494
6412,-1066
6413,-501
6414,-54
6415,-188
6416,-686
6417,-1380
6418,-1809
6419,-1839
6420,-1577
6421,-1457
6422,-1273
6423,-915
6424,-375
6425,-256
6426,-593
6427,-836
6428,-907
6429,-520
6430,-155
6431,623
6432,1089
6433,706
6434,-68
6435,-602
6436,-669
6437,-562
6438,-366
6439,-316
6440,339
6441,847
6442,1113
6443,908
6444,527
6445,192
6446,596
6447,976
6448,1189
6449,1000
6450,695
6451,576
6452,390
6453,35
6454,-204
6455,-509
6456,-325
6457,57
6458,4
6459,314
6460,559
6461,438
6462,542
6463,324
6464,425
6465,142
6466,-323
6467,-692
6468,-704
6469,-350
6470,-520
6471,-320
6472,15
6473,351
6474,429
6475,633
6476,292
6477,-128
6478,-677
6479,-722
6480,-232
6481,520
6482,763
6483,566
6484,14
6485,-385
6486,8
6487,581
6488,683
6489,711
6490,338
6491,-401
6492,-406
6493,30
6494,352
6495,-12
6496,-303
6497,-595
6498,-696
6499,219
6500,977
6501,1042
6502,886
6503,246
6504,-323
6505,-309
6506,177
6507,546
6508,360
6509,176
6510,-127
6511,-811
6512,-958
6513,-502
6514,123
6515,498
6516,-38
6517,-970
6518,-1085
6519,-835
6520,-366
6521,180
6522,422
6523,384
6524,374
6525,312
6526,445
6527,490
6528,344
6529,647
6530,445
6531,-48
6532,-507
6533,-852
6534,-194
6535,87
6536,-71
6537,-249
6538,-301
6539,-205
6540,147
6541,712
6542,986
6543,1342
6544,1696
6545,1628
6546,1025
6547,488
6548,-116
6549,-376
6550,-558
6551,-459
6552,17
6553,80
6554,36
6555,-72
6556,-114
6557,-432
6558,-950
6559,-998
6560,-1161
6561,-1356
6562,-1500
6563,-1510
6564,-1007
6565,-651
6566,-540
6567,-985
6568,-1115
6569,-1026
6570,-1011
6571,-1041
6572,-1022
6573,-835
6574,-346
6575,-218
6576,-106
6577,441
6578,981
6579,1544
6580,1467
6581,1158
6582,616
6583,425
6584,441
6585,511
6586,656
6587,774
6588,1163
6589,1210
6590,1013
6591,554
6592,604
6593,1188
6594,1295
6595,1799
6596,2085
6597,2025
6598,1609
6599,976
6600,456
6601,394
6602,558
6603,952
6604,993
6605,542
6606,-141
6607,-806
6608,-1261
6609,-2252
6610,-2173
6611,-1716
6612,-309
6613,533
6614,857
6615,759
6616,612
6617,485
6618,-146
6619,-1006
6620,-1438
6621,-1188
6622,-418
6623,424
6624,863
6625,436
6626,-606
6627,-1636
6628,-1833
6629,-1689
6630,-1104
6631,-572
6632,-242
6633,510
6634,498
6635,432
6636,142
6637,-112
6638,-400
6639,-713
6640,-65
6641,381
6642,778
6643,482
6644,-274
6645,-596
6646,-853
6647,-704
6648,-319
6649,217
6650,981
6651,1389
6652,1104
6653,223
6654,-473
6655,-692
6656,-425
6657,-171
6658,183
6659,-148
6660,-427
6661,-353
6662,-725
6663,-1466
6664,-1757
6665,-1782
6666,-1226
6667,-330
6668,884
6669,1417
6670,1801
6671,1841
6672,1082
6673,196
6674,-229
6675,-315
6676,170
6677,1205
6678,1715
6679,1628
6680,743
6681,-393
6682,-696
6683,-598
6684,112
6685,625
6686,427
6687,82
6688,192
6689,448
6690,26
6691,129
6692,204
6693,450
6694,728
6695,610
6696,825
6697,868
6698,435
6699,-70
6700,-509
6701,-217
6702,-90
6703,15
6704,-94
6705,-405
6706,-757
6707,-779
6708,-291
6709,-605
6710,-1048
6711,-1283
6712,-977
6713,-652
6714,-1155
6715,-1285
6716,-907
6717,-273
6718,-262
6719,-83
6720,417
6721,1071
6722,1209
6723,1018
6724,863
6725,258
6726,51
6727,354
6728,304
6729,-272
6730,-428
6731,-216
6732,-364
6733,-56
6734,465
6735,653
6736,900
6737,559
6738,173
6739,399
6740,1018
6741,964
6742,714
6743,24
6744,-164
6745,-179
6746,110
6747,282
6748,226
6749,114
6750,153
6751,-321
6752,-820
6753,-444
6754,-218
6755,-494
6756,-515
6757,-377
6758,-114
6759,301
6760,515
6761,483
6762,-80
6763,-918
6764,-1087
6765,-1013
6766,-616
6767,-381
6768,-474
6769,-555
6770,-204
6771,56
6772,250
6773,669
6774,1339
6775,1664
6776,1395
6777,1049
6778,218
6779,-668
6780,-996
6781,-1022
6782,-962
6783,-766
6784,126
6785,547
6786,147
6787,-351
6788,-751
6789,-773
6790,-381
6791,217
6792,370
6793,484
6794,411
6795,78
6796,-63
6797,88
6798,269
6799,-206
6800,-148
6801,-311
6802,-74
6803,438
6804,697
6805,610
6806,372
6807,101
6808,152
6809,99
6810,354
6811,828
6812,687
6813,196
6814,-271
6815,-600
6816,-514
6817,-266
6818,80
6819,227
6820,772
6821,1231
6822,1118
6823,1086
6824,788
6825,501
6826,448
6827,819
6828,1331
6829,1462
6830,1191
6831,846
6832,-223
6833,-1226
6834,-1889
6835,-1422
6836,-931
6837,-325
6838,14
6839,51
6840,-195
6841,-547
6842,-1059
6843,-1242
6844,-1138
6845,-627
6846,-50
6847,371
6848,292
6849,151
6850,-214
6851,-756
6852,-858
6853,-606
6854,-227
6855,-451
6856,-893
6857,-1701
6858,-1860
6859,-1426
6860,-508
6861,47
6862,779
6863,1091
6864,1227
6865,802
6866,203
6867,-331
6868,-380
6869,256
6870,689
6871,1006
6872,883
6873,485
6874,51
6875,-474
6876,-632
6877,-343
6878,-97
6879,146
6880,263
6881,738
6882,933
6883,770
6884,349
6885,427
6886,565
6887,915
6888,1231
6889,1173
6890,942
6891,392
6892,-226
6893,-372
6894,-422
6895,-562
6896,-537
6897,-711
6898,-1200
6899,-1706
6900,-1200
6901,-595
6902,53
6903,47
6904,174
6905,382
6906,237
6907,-192
6908,-469
6909,-416
6910,-30
6911,236
6912,109
6913,144
6914,22
6915,-323
6916,-773
6917,-789
6918,-675
6919,-95
6920,209
6921,330
6922,173
6923,181
6924,489
6925,923
6926,1079
6927,1181
6928,1493
6929,1418
6930,1366
6931,980
6932,442
6933,-119
6934,-518
6935,-363
6936,-224
6937,262
6938,517
6939,289
6940,-145
6941,-561
6942,-1046
6943,-1354
6944,-1340
6945,-1126
6946,-1167
6947,-894
6948,-463
6949,-63
6950,-31
6951,-274
6952,-530
6953,-273
6954,27
6955,257
6956,269
6957,316
6958,-31
6959,-213
6960,-379
6961,-670
6962,-964
6963,-820
6964,-303
6965,-224
6966,-171
6967,35
6968,237
6969,405
6970,494
6971,68
6972,13
6973,292
6974,761
6975,1269
6976,1142
6977,998
6978,279
6979,-67
6980,-112
6981,139
6982,311
6983,132
6984,-168
6985,-328
6986,-467
6987,63
6988,327
6989,16
6990,-190
6991,-298
6992,-398
6993,-361
6994,-449
6995,-352
6996,306
6997,492
6998,572
6999,393
7000,-40
7001,-577
7002,-1032
7003,-714
7004,-458
7005,-282
7006,164
7007,319
7008,12
7009,-419
7010,-511
7011,-918
7012,-1320
7013,-976
7014,-289
7015,178
7016,651
7017,674
7018,96
7019,-123
7020,-210
7021,159
7022,366
7023,473
7024,566
7025,849
7026,1001
7027,1031
7028,774
7029,549
7030,115
7031,45
7032,91
7033,392
7034,492
7035,341
7036,-198
7037,-718
7038,-575
7039,-600
7040,-151
7041,200
7042,351
7043,596
7044,282
7045,-30
7046,-243
7047,-724
7048,-688
7049,-918
7050,-742
7051,-386
7052,13
7053,159
7054,178
7055,149
7056,-32
7057,-261
7058,-417
7059,-710
7060,-572
7061,-327
7062,-288
7063,-78
7064,-53
7065,115
7066,199
7067,-4
7068,-114
7069,-340
7070,-165
7071,-31
7072,201
7073,241
7074,519
7075,565
7076,400
7077,278
7078,259
7079,-119
7080,-157
7081,142
7082,249
7083,354
7084,388
7085,30
7086,-269
7087,-573
7088,-806
7089,-1008
7090,-868
7091,-459
7092,55
7093,207
7094,-15
7095,-706
7096,-1129
7097,-1062
7098,-918
7099,-548
7100,-152
7101,327
7102,528
7103,664
7104,790
7105,1035
7106,974
7107,826
7108,716
7109,330
7110,199
7111,182
7112,-85
7113,-349
7114,-347
7115,-380
7116,-503
7117,-130
7118,212
7119,658
7120,920
7121,942
7122,679
7123,123
7124,14
7125,-101
7126,-181
7127,64
7128,71
7129,-271
7130,-324
7131,-428
7132,-256
7133,-161
7134,-129
7135,-235
7136,-103
7137,-34
7138,-38
7139,-23
7140,158
7141,332
7142,522
7143,242
7144,-106
7145,-366
7146,-492
7147,-454
7148,-602
7149,-348
7150,-176
7151,-174
7152,-147
7153,-159
7154,-162
7155,-232
7156,98
7157,-101
7158,84
7159,188
7160,123
7161,-28
7162,-156
7163,19
7164,62
7165,32
7166,335
7167,728
7168,589
7169,221
7170,-171
7171,-389
7172,-184
7173,360
7174,544
7175,638
7176,287
7177,86
7178,61
7179,-368
7180,-462
7181,-262
7182,-317
7183,-315
7184,-290
7185,-184
7186,-211
7187,-87
7188,80
7189,-252
7190,-285
7191,119
7192,372
7193,269
7194,-56
7195,-361
7196,-585
7197,-687
7198,-748
7199,-334
7200,203
7201,894
7202,1105
7203,1075
7204,821
7205,388
7206,248
7207,-79
7208,-41
7209,23
7210,-43
7211,-170
7212,-235
7213,-417
7214,-287
7215,160
7216,552
7217,546
7218,690
7219,527
7220,307
7221,480
7222,287
7223,114
7224,162
7225,165
7226,312
7227,138
7228,-98
7229,-292
7230,-656
7231,-798
7232,-1066
7233,-1351
7234,-984
7235,-759
7236,-873
7237,-1036
7238,-663
7239,-553
7240,-454
7241,-324
7242,-356
7243,-334
7244,40
7245,245
7246,-39
7247,42
7248,235
7249,307
7250,465
7251,584
7252,558
7253,373
7254,109
7255,-172
7256,-355
7257,-344
7258,-20
7259,476
7260,865
7261,1043
7262,1198
7263,1110
7264,868
7265,508
7266,152
7267,42
7268,363
7269,481
7270,509
7271,450
7272,226
7273,276
7274,156
7275,-285
7276,-496
7277,-397
7278,-306
7279,-311
7280,-8
7281,256
7282,407
7283,122
7284,33
7285,-399
7286,-468
7287,-585
7288,-786
7289,-820
7290,-569
7291,-322
7292,-353
7293,-252
7294,-109
7295,-486
7296,-702
7297,-460
7298,-341
7299,-184
7300,-228
7301,22
7302,24
7303,-66
7304,12
7305,-185
7306,-288
7307,-388
7308,-379
7309,-171
7310,-137
7311,4
7312,362
7313,550
7314,854
7315,991
7316,853
7317,574
7318,527
7319,275
7320,345
7321,480
7322,334
7323,236
7324,128
7325,-60
7326,-417
7327,-668
7328,-541
7329,-389
7330,-110
7331,325
7332,390
7333,228
7334,127
7335,-147
7336,-294
7337,-212
7338,-125
7339,-260
7340,-507
7341,-510
7342,-218
7343,29
7344,113
7345,-13
7346,-226
7347,51
7348,-54
7349,-20
7350,231
7351,515
7352,570
7353,371
7354,159
7355,-45
7356,-248
7357,-604
7358,-317
7359,-169
7360,-128
7361,194
7362,417
7363,567
7364,882
7365,865
7366,666
7367,293
7368,-67
7369,-356
7370,-538
7371,-539
7372,-421
7373,-57
7374,463
7375,750
7376,781
7377,565
7378,19
7379,-661
7380,-1083
7381,-1047
7382,-787
7383,-673
7384,-295
7385,132
7386,452
7387,195
7388,-314
7389,-528
7390,-647
7391,-575
7392,-535
7393,-218
7394,130
7395,3
7396,-171
7397,-653
7398,-651
7399,-26
7400,347
7401,903
7402,1485
7403,1735
7404,1717
7405,1427
7406,975
7407,418
7408,30
7409,-266
7410,-328
7411,-492
7412,-486
7413,-304
7414,-186
7415,-238
7416,-328
7417,-541
7418,-489
7419,-331
7420,0
7421,685
7422,1366
7423,1845
7424,1618
7425,1052
7426,240
7427,-550
7428,-1123
7429,-1218
7430,-1016
7431,-531
7432,10
7433,475
7434,477
7435,-83
7436,-894
7437,-1127
7438,-1067
7439,-1055
7440,-879
7441,-518
7442,-537
7443,-518
7444,-588
7445,-272
7446,-119
7447,613
7448,1183
7449,1716
7450,1516
7451,1138
7452,619
7453,123
7454,-478
7455,-723
7456,-853
7457,-725
7458,-514
7459,-684
7460,-865
7461,-915
7462,-959
7463,-781
7464,-154
7465,614
7466,1335
7467,1498
7468,1361
7469,1283
7470,958
7471,479
7472,439
7473,625
7474,492
7475,467
7476,103
7477,-130
7478,-563
7479,-842
7480,-814
7481,-799
7482,-547
7483,-86
7484,232
7485,341
7486,492
7487,279
7488,125
7489,-197
7490,-475
7491,-235
7492,154
7493,581
7494,636
7495,829
7496,955
7497,921
7498,762
7499,96
7500,-156
7501,72
7502,7
7503,13
7504,66
7505,233
7506,199
7507,-69
7508,-328
7509,-398
7510,-241
7511,-263
7512,-439
7513,-496
7514,-311
7515,76
7516,513
7517,800
7518,546
7519,42
7520,-390
7521,-485
7522,-856
7523,-919
7524,-737
7525,-367
7526,-350
7527,-483
7528,-315
7529,-284
7530,-265
7531,-271
7532,-446
7533,-653
7534,-774
7535,-768
7536,-567
7537,-304
7538,-98
7539,-107
7540,306
7541,695
7542,731
7543,612
7544,321
7545,405
7546,584
7547,1071
7548,1354
7549,1296
7550,995
7551,456
7552,-72
7553,-681
7554,-751
7555,-521
7556,-250
7557,80
7558,617
7559,884
7560,680
7561,705
7562,308
7563,314
7564,330
7565,442
7566,884
7567,1052
7568,757
7569,274
7570,-319
7571,-918
7572,-1177
7573,-942
7574,-704
7575,-367
7576,-77
7577,14
7578,-139
7579,-703
7580,-938
7581,-1110
7582,-761
7583,-509
7584,-263
7585,37
7586,205
7587,137
7588,10
7589,25
7590,160
7591,223
7592,521
7593,708
7594,838
7595,545
7596,-12
7597,-327
7598,-312
7599,-115
7600,180
7601,150
7602,260
7603,172
7604,59
7605,-177
7606,-293
7607,-344
7608,-383
7609,-280
7610,-89
7611,22
7612,-140
7613,-167
7614,-252
7615,-150
7616,-17
7617,374
7618,585
7619,352
7620,291
7621,122
7622,-183
7623,-364
7624,-175
7625,-137
7626,70
7627,362
7628,476
7629,428
7630,297
7631,19
7632,-207
7633,-485
7634,-618
7635,-459
7636,-201
7637,-289
7638,-486
7639,-717
7640,-708
7641,-764
7642,-246
7643,256
7644,904
7645,1332
7646,1758
7647,1860
7648,1344
7649,731
7650,327
7651,221
7652,275
7653,545
7654,396
7655,92
7656,-139
7657,-732
7658,-1214
7659,-1511
7660,-1344
7661,-833
7662,-162
7663,378
7664,729
7665,1068
7666,960
7667,652
7668,84
7669,-511
7670,-431
7671,-37
7672,89
7673,166
7674,-47
7675,-504
7676,-1143
7677,-1893
7678,-2231
7679,-1871
7680,-1257
7681,-532
7682,85
7683,573
7684,830
7685,677
7686,414
7687,234
7688,308
7689,767
7690,1202
7691,1207
7692,977
7693,747
7694,179
7695,-326
7696,-835
7697,-900
7698,-832
7699,-443
7700,-45
7701,370
7702,329
7703,310
7704,400
7705,544
7706,808
7707,889
7708,1027
7709,1075
7710,980
7711,896
7712,484
7713,196
7714,-134
7715,-242
7716,-216
7717,-226
7718,-97
7719,-101
7720,-275
7721,-563
7722,-912
7723,-1010
7724,-767
7725,-656
7726,-437
7727,-449
7728,-512
7729,-379
7730,-421
7731,-446
7732,-177
7733,296
7734,476
7735,610
7736,451
7737,215
7738,-23
7739,-208
7740,-455
7741,-495
7742,-180
7743,122
7744,221
7745,102
7746,-26
7747,-276
7748,-438
7749,-586
7750,-654
7751,-378
7752,-306
7753,-159
7754,-105
7755,60
7756,16
7757,-160
7758,-8
7759,300
7760,568
7761,705
7762,662
7763,330
7764,74
7765,-80
7766,-98
7767,-337
7768,-459
7769,-266
7770,157
7771,495
7772,680
7773,441
7774,120
7775,-26
7776,-88
7777,-10
7778,-67
7779,-119
7780,104
7781,445
7782,503
7783,213
7784,321
7785,319
7786,323
7787,412
7788,167
7789,166
7790,155
7791,239
7792,155
7793,47
7794,-57
7795,-276
7796,-639
7797,-509
7798,-249
7799,24
7800,258
7801,91
7802,29
7803,-241
7804,-386
7805,-186
7806,18
7807,234
7808,187
7809,257
7810,247
7811,218
7812,-99
7813,-142
7814,-201
7815,-250
7816,-337
7817,-422
7818,-373
7819,-365
7820,-668
7821,-772
7822,-844
7823,-1043
7824,-912
7825,-652
7826,-335
7827,145
7828,534
7829,497
7830,429
7831,522
7832,787
7833,752
7834,812
7835,956
7836,789
7837,328
7838,-105
7839,-468
7840,-783
7841,-654
7842,-532
7843,-186
7844,427
7845,872
7846,903
7847,682
7848,-21
7849,-514
7850,-433
7851,156
7852,953
7853,1163
7854,1419
7855,1240
7856,514
7857,-102
7858,-612
7859,-1159
7860,-1196
7861,-848
7862,-397
7863,29
7864,430
7865,676
7866,245
7867,-282
7868,-555
7869,-696
7870,-454
7871,-61
7872,86
7873,-71
7874,138
7875,-31
7876,-443
7877,-619
7878,-830
7879,-807
7880,-534
7881,-84
7882,459
7883,905
7884,1033
7885,770
7886,436
7887,-21
7888,-358
7889,-616
7890,-789
7891,-667
7892,-544
7893,-199
7894,122
7895,200
7896,274
7897,171
7898,70
7899,-147
7900,-398
7901,-567
7902,-116
7903,439
7904,725
7905,957
7906,1191
7907,851
7908,158
7909,-566
7910,-890
7911,-1187
7912,-1270
7913,-830
7914,-229
7915,411
7916,877
7917,945
7918,502
7919,-187
7920,-577
7921,-429
7922,70
7923,834
7924,1346
7925,1664
7926,1482
7927,980
7928,550
7929,5
7930,-293
7931,-405
7932,-387
7933,-394
7934,-465
7935,-386
7936,-518
7937,-352
7938,-156
7939,253
7940,522
7941,613
7942,466
7943,390
7944,167
7945,143
7946,226
7947,369
7948,507
7949,392
7950,179
7951,-185
7952,-450
7953,-683
7954,-894
7955,-933
7956,-834
7957,-715
7958,-613
7959,-651
7960,-592
7961,-526
7962,-385
7963,-304
7964,-165
7965,-125
7966,77
7967,248
7968,117
7969,-40
7970,-144
7971,-166
7972,-342
7973,-457
7974,-446
7975,-309
7976,-143
7977,-173
7978,-28
7979,242
7980,512
7981,560
7982,537
7983,623
7984,491
7985,433
7986,327
7987,291
7988,319
7989,352
7990,193
7991,83
7992,40
7993,-43
7994,-135
7995,29
7996,141
7997,578
7998,767
7999,875
8000,920
8001,668
8002,473
8003,331
8004,231
8005,-9
8006,-218
8007,-283
8008,-382
8009,-336
8010,-323
8011,-455
8012,-523
8013,-426
8014,-535
8015,-426
8016,-270
8017,-124
8018,-188
8019,-47
8020,5
8021,-123
8022,-276
8023,-218
8024,-4
8025,400
8026,-120
8027,-289
8028,-507
8029,-330
8030,-684
8031,-349
8032,-411
8033,-523
8034,71
8035,1219
8036,1580
8037,1082
8038,221
8039,-1008
8040,-1384
8041,-415
8042,1081
8043,1892
8044,2038
8045,2186
8046,1572
8047,1461
8048,1327
8049,661
8050,-236
8051,-828
8052,99
8053,88
8054,-168
8055,-1721
8056,-1335
8057,-769
8058,-864
8059,136
8060,706
8061,2200
8062,1584
8063,2522
8064,2244
8065,2361
8066,-158
8067,496
8068,-133
8069,-817
8070,-1233
8071,-2296
8072,-2001
8073,-1868
8074,-1582
8075,-2247
8076,-1243
8077,-1163
8078,-442
8079,-227
8080,-453
8081,724
8082,2119
8083,2564
8084,2372
8085,1815
8086,2555
8087,1976
8088,2000
8089,361
8090,-816
8091,-1755
8092,-776
8093,-164
8094,-382
8095,-1515
8096,-2256
8097,-1531
8098,-1390
8099,-603
8100,-137
8101,-492
8102,-1581
8103,-98
8104,1363
8105,1641
8106,2417
8107,1349
8108,75
8109,-934
8110,-459
8111,-1062
8112,-3020
8113,-2825
8114,-2304
8115,-2130
8116,-1602
8117,-757
8118,334
8119,794
8120,-173
8121,-744
8122,-342
8123,289
8124,1428
8125,3094
8126,2463
8127,605
8128,402
8129,554
8130,538
8131,641
8132,45
8133,-698
8134,-1909
8135,-1563
8136,-1472
8137,-604
8138,-1257
8139,-782
8140,-408
8141,620
8142,1512
8143,1652
8144,1440
8145,1583
8146,1409
8147,2179
8148,1902
8149,2187
8150,1966
8151,1742
8152,958
8153,-134
8154,-415
8155,-1430
8156,-1880
8157,-2541
8158,-2492
8159,-1966
8160,-1547
8161,-728
8162,-1099
8163,-574
8164,-34
8165,848
8166,2203
8167,2285
8168,2161
8169,2037
8170,1186
8171,871
8172,756
8173,1290
8174,989
8175,79
8176,-155
8177,-946
8178,-1668
8179,-1529
8180,-859
8181,-1072
8182,-824
8183,-309
8184,-476
8185,-225
8186,502
8187,935
8188,983
8189,579
8190,-184
8191,-728
8192,-385
8193,598
8194,1379
8195,1111
8196,126
8197,-777
8198,-1266
8199,-1185
8200,-866
8201,-485
8202,-794
8203,-2085
8204,-2239
8205,-1695
8206,-968
8207,-492
8208,466
8209,1016
8210,1372
8211,1732
8212,1294
8213,1262
8214,575
8215,11
8216,-814
8217,-1192
8218,-834
8219,-637
8220,-1049
8221,-1615
8222,-1132
8223,-954
8224,-578
8225,-238
8226,234
8227,-190
8228,-129
8229,543
8230,1805
8231,2399
8232,1911
8233,1109
8234,113
8235,-614
8236,-906
8237,-1083
8238,-314
8239,915
8240,1397
8241,1437
8242,727
8243,63
8244,-527
8245,-1132
8246,-1805
8247,-1942
8248,-1186
8249,265
8250,708
8251,119
8252,-1437
8253,-2073
8254,-1990
8255,-744
8256,879
8257,1570
8258,1680
8259,1079
8260,90
8261,-815
8262,-922
8263,-970
8264,-893
8265,-195
8266,355
8267,384
8268,-307
8269,-1426
8270,-1406
8271,-823
8272,175
8273,1238
8274,1922
8275,2333
8276,1801
8277,749
8278,-267
8279,-1306
8280,-1115
8281,-246
8282,379
8283,345
8284,89
8285,-310
8286,-570
8287,-678
8288,-9
8289,346
8290,536
8291,282
8292,-452
8293,-862
8294,-380
8295,225
8296,577
8297,687
8298,988
8299,520
8300,83
8301,-529
8302,-689
8303,-1171
8304,-1105
8305,-291
8306,99
8307,110
8308,-610
8309,-899
8310,-1097
8311,-768
8312,-376
8313,202
8314,38
8315,575
8316,726
8317,813
8318,548
8319,104
8320,-254
8321,-719
8322,-276
8323,463
8324,972
8325,639
8326,-8
8327,-594
8328,-585
8329,-515
8330,-770
8331,-1086
8332,-1152
8333,-686
8334,-80
8335,266
8336,418
8337,212
8338,124
8339,273
8340,232
8341,-32
8342,-621
8343,-948
8344,-796
8345,-634
8346,-508
8347,-125
8348,35
8349,224
8350,224
8351,113
8352,-48
8353,-125
8354,-260
8355,-410
8356,-438
8357,-464
8358,-210
8359,0
8360,706
8361,1147
8362,1231
8363,744
8364,228
8365,-232
8366,-254
8367,5
8368,-240
8369,-69
8370,95
8371,462
8372,356
8373,40
8374,-121
8375,60
8376,-105
8377,-288
8378,-158
8379,-99
8380,155
8381,255
8382,585
8383,159
8384,110
8385,61
8386,307
8387,454
8388,252
8389,-182
8390,-596
8391,-959
8392,-817
8393,-674
8394,-367
8395,310
8396,664
8397,765
8398,453
8399,121
8400,46
8401,-291
8402,-761
8403,-1048
8404,-797
8405,-481
8406,-147
8407,-149
8408,-365
8409,-679
8410,-737
8411,-395
8412,-20
8413,405
8414,716
8415,772
8416,224
8417,-190
8418,-467
8419,-441
8420,-136
8421,-136
8422,264
8423,409
8424,468
8425,313
8426,111
8427,-22
8428,-67
8429,-9
8430,202
8431,572
8432,404
8433,-44
8434,-540
8435,-651
8436,-651
8437,-217
8438,161
8439,286
8440,742
8441,554
8442,455
8443,508
8444,439
8445,612
8446,519
8447,66
8448,-9
8449,-499
8450,-789
8451,-1253
8452,-1160
8453,-704
8454,-249
8455,-142
8456,31
8457,324
8458,112
8459,229
8460,105
8461,489
8462,774
8463,693
8464,545
8465,401
8466,398
8467,322
8468,325
8469,417
8470,157
8471,-274
8472,-490
8473,-712
8474,-958
8475,-982
8476,-940
8477,-677
8478,-64
8479,596
8480,1159
8481,1189
8482,590
8483,136
8484,-138
8485,-238
8486,-307
8487,-484
8488,-1199
8489,-1486
8490,-189
8491,987
8492,1030
8493,733
8494,-231
8495,-192
8496,130
8497,336
8498,106
8499,-613
8500,-1134
8501,-1278
8502,-1024
8503,-896
8504,-749
8505,-792
8506,-12
8507,714
8508,1591
8509,2149
8510,2306
8511,1628
8512,605
8513,-315
8514,-316
8515,213
8516,756
8517,564
8518,-278
8519,-1368
8520,-1993
8521,-1915
8522,-1172
8523,-213
8524,581
8525,1079
8526,889
8527,676
8528,407
8529,34
8530,-241
8531,-303
8532,260
8533,657
8534,402
8535,50
8536,-777
8537,-1388
8538,-1415
8539,-93
8540,810
8541,1281
8542,1069
8543,216
8544,-291
8545,-103
8546,-57
8547,-195
8548,-144
8549,-195
8550,-269
8551,-629
8552,-1198
8553,-1357
8554,-1350
8555,-937
8556,-463
8557,878
8558,1543
8559,1388
8560,432
8561,-753
8562,-1072
8563,-388
8564,1054
8565,1497
8566,1234
8567,101
8568,-1030
8569,-1398
8570,-747
8571,-183
8572,270
8573,350
8574,76
8575,-374
8576,-564
8577,-545
8578,-663
8579,-127
8580,796
8581,1295
8582,1394
8583,1162
8584,527
8585,26
8586,-387
8587,-851
8588,-738
8589,-347
8590,-456
8591,-617
8592,-586
8593,-363
8594,-264
8595,395
8596,565
8597,103
8598,-257
8599,-622
8600,-373
8601,13
8602,629
